Bot,Simulation,q,Time Step,Result
Bot1,81,0.10,12,Success
Bot2,81,0.10,12,Success
Bot3,81,0.10,12,Success
Bot4,81,0.10,12,Success
Bot1,82,0.10,19,Success
Bot2,82,0.10,19,Success
Bot3,82,0.10,19,Success
Bot4,82,0.10,19,Success
Bot1,83,0.10,22,Success
Bot2,83,0.10,22,Success
Bot3,83,0.10,22,Success
Bot4,83,0.10,22,Success
Bot1,84,0.10,19,Success
Bot2,84,0.10,19,Success
Bot3,84,0.10,19,Success
Bot4,84,0.10,19,Success
Bot1,85,0.10,50,Success
Bot2,85,0.10,50,Success
Bot3,85,0.10,50,Success
Bot4,85,0.10,50,Success
Bot1,86,0.10,15,Success
Bot2,86,0.10,15,Success
Bot3,86,0.10,15,Success
Bot4,86,0.10,15,Success
Bot1,87,0.10,49,Success
Bot2,87,0.10,49,Success
Bot3,87,0.10,49,Success
Bot4,87,0.10,49,Success
Bot1,88,0.10,55,Success
Bot2,88,0.10,57,Success
Bot3,88,0.10,55,Success
Bot4,88,0.10,55,Success
Bot1,89,0.10,18,Success
Bot2,89,0.10,18,Success
Bot3,89,0.10,18,Success
Bot4,89,0.10,18,Success
Bot1,90,0.10,29,Success
Bot2,90,0.10,29,Success
Bot3,90,0.10,29,Success
Bot4,90,0.10,29,Success
Bot1,91,0.10,12,Success
Bot2,91,0.10,12,Success
Bot3,91,0.10,12,Success
Bot4,91,0.10,12,Success
Bot1,92,0.10,48,Success
Bot2,92,0.10,48,Success
Bot3,92,0.10,48,Success
Bot4,92,0.10,48,Success
Bot1,93,0.10,17,Success
Bot2,93,0.10,17,Success
Bot3,93,0.10,17,Success
Bot4,93,0.10,17,Success
Bot1,94,0.10,12,Success
Bot2,94,0.10,12,Success
Bot3,94,0.10,12,Success
Bot4,94,0.10,12,Success
Bot1,95,0.10,19,Success
Bot2,95,0.10,19,Success
Bot3,95,0.10,19,Success
Bot4,95,0.10,19,Success
Bot1,96,0.10,14,Success
Bot2,96,0.10,14,Success
Bot3,96,0.10,14,Success
Bot4,96,0.10,14,Success
Bot1,97,0.10,4,Success
Bot2,97,0.10,4,Success
Bot3,97,0.10,4,Success
Bot4,97,0.10,4,Success
Bot1,98,0.10,18,Success
Bot2,98,0.10,18,Success
Bot3,98,0.10,18,Success
Bot4,98,0.10,18,Success
Bot1,99,0.10,10,Success
Bot2,99,0.10,10,Success
Bot3,99,0.10,10,Success
Bot4,99,0.10,10,Success
Bot1,100,0.10,36,Success
Bot2,100,0.10,36,Success
Bot3,100,0.10,36,Success
Bot4,100,0.10,36,Success
Bot1,1,0.20,13,Success
Bot2,1,0.20,13,Success
Bot3,1,0.20,13,Success
